,profile_id,orgc_stock_mineral,orgc_stock_organic,top_cm,bot_cm,mineral_fraction,organic_fraction,obs_date_yyyy,lat_dd,long_dd
0,NCC 1_NCC 1,9.404699999999998,0.0,0.0,30.0,1.0,0.0,2009,35.051,-83.4342
1,NCC 2_NCC 2,12.080499999999999,0.0,0.0,30.0,1.0,0.0,2009,35.0484,-83.4342
2,NCC 3_NCC 3,9.4101,0.0,0.0,30.0,1.0,0.0,2009,35.0473,-83.434
3,NCC 4_NCC 4,10.020999999999999,0.0,0.0,30.0,1.0,0.0,2009,35.0385,-83.4598
4,NCC 5_NCC 5,22.708,0.0,0.0,30.0,1.0,0.0,2009,35.031,-83.4619
5,NMJ 1_NMJ 1,24.015790000000006,0.0,0.0,30.0,1.0,0.0,2010,32.56031,-106.78964
6,NMJ 2_NMJ 2,15.814700000000002,0.0,0.0,30.0,1.0,0.0,2010,32.57344,-106.67233
7,NMJ 3_NMJ 3,15.88194,0.0,0.0,30.0,1.0,0.0,2010,32.57169,-106.64369
8,NMJ 4_NMJ 4,3.9607200000000002,0.0,0.0,30.0,1.0,0.0,2010,32.57378,-106.61486
9,NMJ 5_NMJ 5,12.107099999999999,0.0,0.0,30.0,1.0,0.0,2010,32.62039,-106.5507
10,NMJ 6_NMJ 6,19.641290000000005,0.0,0.0,30.0,1.0,0.0,2010,32.58953,-106.53403
11,04KY-007-001_04KY-007-001,6.80652,0.0,0.0,30.0,1.0,0.0,2004,37.16128,-89.05928
12,03KY145003_04KY-145-001,8.50947,0.0,0.0,30.0,1.0,0.0,2003,37.11351,-88.70342
13,04KY-145-002_04KY-145-002,6.595769999999998,0.0,0.0,30.0,1.0,0.0,2003,37.11228,-88.70358
14,04KY145001_04KY-145-003,5.4052,0.0,0.0,30.0,1.0,0.0,2003,37.1093,-88.6962
15,04KY145004_04KY-145-004,4.86864,0.0,0.0,30.0,1.0,0.0,2003,36.95361,-88.515
16,67FN220000_40A0165,8.9376,0.0,0.0,30.0,1.0,0.0,1967,-15.66667,-47.78333
17,S1959PR019008_40A0166,10.773,0.0,0.0,30.0,1.0,0.0,1959,18.23917,-66.28389
18,S1960NM013002_40A0169,0.87056,0.0,0.0,30.0,1.0,0.0,1960,32.3168,-106.76723
19,S1961TX389003_40A0171,2.77299,0.0,0.0,30.0,1.0,0.0,1961,31.39361,-103.51833
20,S1955CA071003_40A0173,0.6303000000000001,0.0,0.0,30.0,1.0,0.0,1955,34.50889,-116.93528
21,S1961PR127001_40A0179,5.63076,0.0,0.0,30.0,1.0,0.0,1961,18.395,-66.05305
22,S1953TX305063_40A0184,3.6,0.0,0.0,30.0,1.0,0.0,1953,33.30833,-101.66666
23,S1964AZ003018_40A0187,1.2044799999999998,0.0,0.0,30.0,1.0,0.0,1964,32.40039,-109.96149
24,S1961NM013007_40A0190,0.6622399999999999,0.0,0.0,30.0,1.0,0.0,1961,32.29736,-106.90807
25,S1959NV017033_40A0193,0.5579799999999999,0.0,0.0,30.0,1.0,0.0,1959,37.35886,-115.19391
26,S1960NV003001_40A0195,2.17253,0.0,0.0,30.0,1.0,0.0,1960,36.6675,-114.58305
27,S1967TX141003_40A0197,4.0572,0.0,0.0,30.0,1.0,0.0,1967,31.54167,-106.19195
28,S1965HI009023_40A0201,30.176899999999996,0.0,0.0,30.0,1.0,0.0,1965,20.825,-156.31111
29,62HI001001b_40A0203,40.673399999999994,0.0,0.0,30.0,1.0,0.0,1962,20.04078,-155.44395
30,S1965HI001013_40A0204,10.6056,0.0,0.0,30.0,1.0,0.0,1965,19.90833,-155.39166
31,S1961PR093001_40A0208,7.405200000000001,0.0,0.0,30.0,1.0,0.0,1961,18.2125,-67.06167
32,S1961PR047002_40A0209,5.329739999999999,0.0,0.0,30.0,1.0,0.0,1961,18.24167,-66.28389
33,S1958PR105001_40A0215,5.63822,0.0,0.0,30.0,1.0,0.0,1958,18.35306,-66.26083
34,S1960OK115001_40A0218,3.43293,0.0,0.0,30.0,1.0,0.0,1960,36.80924,-94.85497
35,S1960TX065003_40A0220,5.691900000000002,0.0,0.0,30.0,1.0,0.0,1960,35.5,-101.18584
36,S1965CA053004_40A0224,8.3812,0.0,0.0,30.0,1.0,0.0,1965,36.28333,-121.1
37,S1962HI007005_40A0231,16.878,0.0,0.0,30.0,1.0,0.0,1962,22.20601,-159.44249
38,S1963HI007002_40A0232,16.153039999999997,0.0,0.0,30.0,1.0,0.0,1963,22.05185,-159.36943
39,S1961HI003005_40A0233,8.22735,0.0,0.0,30.0,1.0,0.0,1961,21.38964,-158.04501
40,S1955GA179002_40A0236,5.01466,0.0,0.0,30.0,1.0,0.0,1955,31.88074,-81.42733
41,S1965NC101002_40A0237,6.621450000000001,0.0,0.0,30.0,1.0,0.0,1965,35.365,-78.54778
42,S1958PR137001_40A0238,11.03855,0.0,0.0,30.0,1.0,0.0,1958,18.39556,-66.06139
43,S1961PR019004_40A0239,12.676219999999999,0.0,0.0,30.0,1.0,0.0,1961,18.23889,-66.28222
44,S1958PR047002_40A0243,5.894399999999999,0.0,0.0,30.0,1.0,0.0,1958,18.31722,-66.28584
45,S1963PR063002_40A0247,6.40512,0.0,0.0,30.0,1.0,0.0,1965,18.2575,-65.65945
46,59TX245001_40A0248,4.8192,0.0,0.0,30.0,1.0,0.0,2010,29.97056,-94.10389
47,S1961PR079001_40A0249,5.713559999999999,0.0,0.0,30.0,1.0,0.0,1961,18.03583,-67.0825
48,S1964CA073008_40A0251,3.6147,0.0,0.0,30.0,1.0,0.0,1964,33.26389,-117.29667
49,S1957PR079003_40A0528,8.047799999999999,0.0,0.0,30.0,1.0,0.0,1957,18.035,-67.03194
50,S1957PR079004_40A0530,7.529720000000001,0.0,0.0,30.0,1.0,0.0,1957,18.03944,-67.04556
51,S1961PR109001_40A0534,5.3278,0.0,0.0,30.0,1.0,0.0,1961,18.04278,-65.99889
52,S1961PR011003_40A0535,5.086919999999999,0.0,0.0,30.0,1.0,0.0,1961,18.27473,-67.0744
53,S1958PR105003_40A0536,7.221300000000001,0.0,0.0,30.0,1.0,0.0,1958,18.275,-66.24139
54,S1963PR151003_40A0538,1.8840400000000002,0.0,0.0,30.0,1.0,0.0,1963,18.09333,-65.87917
55,S1963PR063001_40A0540,5.962199999999999,0.0,0.0,30.0,1.0,0.0,1963,18.2525,-66.99028
56,S1961PR023002_40A0551,6.730929999999999,0.0,0.0,30.0,1.0,0.0,1961,18.03444,-67.17805
57,S1963PR015002_40A0553,4.103700000000001,0.0,0.0,30.0,1.0,0.0,1962,17.99028,-66.03584
58,S1961PR023001_40A0557,5.77197,0.0,0.0,30.0,1.0,0.0,1961,18.03889,-67.10778
59,S1961PR079002_40A0559,6.686999999999999,0.0,0.0,30.0,1.0,0.0,1961,18.04389,-67.05055
60,S1964VI010004_40A0560,12.86274,0.0,0.0,30.0,1.0,0.0,1964,17.69889,-64.80722
61,S1963PR151006_40A0561,2.23904,0.0,0.0,30.0,1.0,0.0,1963,18.09694,-65.85306
62,S1961PR047001_40A0564,8.408850000000001,0.0,0.0,30.0,1.0,0.0,1961,18.24139,-66.28445
63,S1963PR003002_40A0565,8.011800000000001,0.0,0.0,30.0,1.0,0.0,1963,18.30389,-67.13861
64,S1964VI030001_40A0568,10.449540000000002,0.0,0.0,30.0,1.0,0.0,1964,18.355,-64.95306
65,S1957PR023002_40A0569,5.56862,0.0,0.0,30.0,1.0,0.0,1957,18.01722,-66.96555
66,S1961PR057001_40A0572,9.63305,0.0,0.0,30.0,1.0,0.0,1961,17.98667,-66.03889
67,S1959PR009001_40A0574,11.022320000000002,0.0,0.0,30.0,1.0,0.0,1959,18.13556,-66.28722
68,S1958PR105004_40A0575,7.3686,0.0,0.0,30.0,1.0,0.0,1958,18.29417,-66.35333
69,S1958PR105002_40A0576,11.54475,0.0,0.0,30.0,1.0,0.0,1958,18.27583,-66.24
70,S1963PR151009_40A0578,7.3192,0.0,0.0,30.0,1.0,0.0,1963,18.08083,-65.93861
71,S1958PR047001_40A0582,6.7222800000000005,0.0,0.0,30.0,1.0,0.0,1958,18.32861,-66.36278
72,S1958PR003002_40A0587,2.3634,0.0,0.0,30.0,1.0,0.0,1958,18.3225,-66.34861
73,S1958PR119001_40A0598,10.46436,0.0,0.0,30.0,1.0,0.0,1958,18.30611,-65.78278
74,S1959PR019005_40A0602,10.33158,0.0,0.0,30.0,1.0,0.0,1959,18.24167,-66.27389
75,S1977AZ017001_40A0679,0.26015999999999995,0.0,0.0,30.0,1.0,0.0,1977,34.90028,-110.16889
76,S1977AZ017002_40A0680,0.68728,0.0,0.0,30.0,1.0,0.0,1977,34.96889,-110.37278
77,S1977AZ017004_40A0682,0.7867999999999999,0.0,0.0,30.0,1.0,0.0,1977,34.88139,-110.09194
78,S1977AZ017008_40A0686,2.3404999999999996,0.0,0.0,30.0,1.0,0.0,1977,34.69889,-110.02222
79,S1962AZ005022_40A0693,3.89396,0.0,0.0,30.0,1.0,0.0,1962,34.43722,-111.49555
80,S1962AZ005024_40A0696,6.31133,0.0,0.0,30.0,1.0,0.0,1962,34.57195,-111.31805
81,S1956AZ017030_40A0698,4.18849,0.0,0.0,30.0,1.0,0.0,1956,34.22472,-110.02889
82,S1964AZ003019_40A0699,1.4224,0.0,0.0,30.0,1.0,0.0,1964,32.41789,-109.96455
