,profile_id,orgc_stock_mineral,orgc_stock_organic,top_cm,bot_cm,mineral_fraction,organic_fraction,DATEYR,LATDD,LONDD
0,AL0007,4.6498,0.0,0,30,1.0,0.0,1994.0,41.06944,19.99556
1,AL0008,4.7797,0.0,0,30,1.0,0.0,1994.0,40.215,20.64722
2,AL0009,5.236879999999999,0.0,0,30,1.0,0.0,1994.0,40.63722,20.78444
3,AL0010,7.9117,0.0,0,30,1.0,0.0,1994.0,40.34528,19.48361
4,AL0011,6.97248,0.0,0,30,1.0,0.0,1994.0,41.37778,19.77028
5,AL0012,3.2423599999999997,0.0,0,30,1.0,0.0,1994.0,40.65528,20.95889
6,AL0013,5.499899999999999,0.0,0,30,1.0,0.0,1994.0,40.56444,20.7325
7,AL0014,5.335320000000001,0.0,0,30,1.0,0.0,1994.0,41.69278,20.40639
8,AL0015,8.741399999999999,0.0,0,30,1.0,0.0,1994.0,41.37,19.7625
9,AL0016,37.8,0.0,0,30,1.0,0.0,1994.0,40.72167,20.71083
10,AL0017,14.60334,0.0,0,30,1.0,0.0,1994.0,39.8175,20.02667
11,AL0018,5.5859000000000005,0.0,0,30,1.0,0.0,1994.0,42.09194,19.50972
12,AL0019,4.7738,0.0,0,30,1.0,0.0,1994.0,40.71556,92.41667
13,AL0020,24.92676,0.0,0,30,1.0,0.0,1994.0,40.98583,19.64611
14,AL0021,5.47812,0.0,0,30,1.0,0.0,1994.0,41.6275,19.99417
15,AL0022,8.6658,0.0,0,30,1.0,0.0,1994.0,42.075,20.325
16,AL0023,6.780420000000001,0.0,0,30,1.0,0.0,1994.0,40.95083,19.6875
17,AL0024,4.49113,0.0,0,30,1.0,0.0,1995.0,42.00083,19.52694
18,AL0025,7.9773,0.0,0,30,1.0,0.0,1995.0,41.63778,19.68361
19,AL0026,5.937239999999999,0.0,0,30,1.0,0.0,1995.0,41.18583,19.53556
20,AL0027,4.025399999999999,0.0,0,30,1.0,0.0,1995.0,42.00806,19.46028
21,AL0028,3.1586200000000004,0.0,0,30,1.0,0.0,1995.0,40.88,20.70139
22,AL0029,4.05696,0.0,0,30,1.0,0.0,1995.0,40.76444,19.94139
23,AL0030,2.91164,0.0,0,30,1.0,0.0,1995.0,40.66111,20.81611
24,AL0031,3.03096,0.0,0,30,1.0,0.0,1995.0,40.73083,19.70833
25,AL0032,3.292439999999999,0.0,0,30,1.0,0.0,1995.0,41.06472,20.63056
26,AL0033,12.296859999999999,0.0,0,30,1.0,0.0,1995.0,41.72417,19.68278
27,AL0034,2.6382499999999998,0.0,0,30,1.0,0.0,1995.0,40.61639,19.46361
28,AL0035,6.586279999999999,0.0,0,30,1.0,0.0,1995.0,41.06472,20.63778
29,AM0001,10.80565,0.0,0,30,1.0,0.0,1974.0,40.48333,44.75
30,AM0002,4.3834599999999995,0.0,0,30,1.0,0.0,1974.0,40.16667,44.51667
31,AM0003,11.04384,0.0,0,30,1.0,0.0,1974.0,40.9,45.1
32,AM0004,6.0915,0.0,0,30,1.0,0.0,1974.0,40.76667,44.86667
33,AM0005,6.0627200000000006,0.0,0,30,1.0,0.0,1974.0,40.28333,44.6
34,AN0002,0.0,15.633000000000003,0,30,0.0,1.0,1981.0,17.64583,-63.23583
35,AO0024,9.253440000000001,0.0,0,30,1.0,0.0,1991.0,-13.41667,14.76667
36,AR0049,9.12,0.0,0,30,1.0,0.0,1968.0,-38.29972,-59.02
37,AR0050,7.027999999999999,0.0,0,30,1.0,0.0,1969.0,-35.04972,-57.68972
38,AR0051,5.42,0.0,0,30,1.0,0.0,1969.0,-35.54972,-57.54
39,AR0052,5.88,0.0,0,30,1.0,0.0,1969.0,-35.75528,-58.71056
40,AR0053,8.783999999999999,0.0,0,30,1.0,0.0,1969.0,-37.58,-58.11972
41,AR0055,5.112,0.0,0,30,1.0,0.0,1970.0,-33.88,-59.72972
42,AR0056,8.46,0.0,0,30,1.0,0.0,1970.0,-32.83,-59.33
43,AR0057,5.016,0.0,0,30,1.0,0.0,1971.0,-30.68,-59.45
44,AR0058,8.016,0.0,0,30,1.0,0.0,1971.0,-32.91972,-59.65
45,AR0059,5.9399999999999995,0.0,0,30,1.0,0.0,1971.0,-31.03,-59.58
46,AR0060,7.955999999999999,0.0,0,30,1.0,0.0,1972.0,-24.03,-65.4
47,AR0061,6.84,0.0,0,30,1.0,0.0,1972.0,-30.62,-58.54972
48,AR0062,0.69,0.0,0,30,1.0,0.0,1972.0,-31.68,-59.11972
49,AR0063,16.146,0.0,0,30,1.0,0.0,1972.0,-25.06972,-65.3
50,AR0064,1.7999999999999998,0.0,0,30,1.0,0.0,1972.0,-30.62,-58.47972
51,AR0065,3.5640000000000005,0.0,0,30,1.0,0.0,1973.0,-30.96972,-58.02972
52,AR0070,1.9820000000000004,0.0,0,30,1.0,0.0,1975.0,-34.93,-62.70972
53,AR0071,4.95,0.0,0,30,1.0,0.0,1975.0,-37.06,-58.29972
54,AR0072,4.921999999999999,0.0,0,30,1.0,0.0,1975.0,-34.54,-63.22
55,AR0073,0.996,0.0,0,30,1.0,0.0,1976.0,-38.97972,-68.94972
56,AR0075,4.829999999999999,0.0,0,30,1.0,0.0,1977.0,-25.67,-64.08
57,AR0076,2.472,0.0,0,30,1.0,0.0,1978.0,-40.84,-66.5
58,AR0077,5.940000000000001,0.0,0,30,1.0,0.0,1978.0,-51.50972,-71.73
59,AR0078,0.66,0.0,0,30,1.0,0.0,1978.0,-39.0,-68.94972
60,AR0083,2.145,0.0,0,30,1.0,0.0,1979.0,-24.37,-66.55
61,AR0085,8.6624,0.0,0,30,1.0,0.0,1979.0,-41.88,-70.43
62,AR0086,4.550000000000001,0.0,0,30,1.0,0.0,1979.0,-22.87,-65.22
63,AR0087,4.585,0.0,0,30,1.0,0.0,1979.0,-24.7,-65.09972
64,AR0088,1.3716,0.0,0,30,1.0,0.0,1979.0,-22.81972,-65.77972
65,AR0090,1.1,0.0,0,30,1.0,0.0,1979.0,-40.36,-65.22
66,AR0091,0.99,0.0,0,30,1.0,0.0,1980.0,-36.7,-65.27972
67,AR0092,2.3100000000000005,0.0,0,30,1.0,0.0,1980.0,-38.59972,-64.87972
68,AR0093,0.354,0.0,0,30,1.0,0.0,1980.0,-27.6,-66.05
69,AR0094,1.5339999999999998,0.0,0,30,1.0,0.0,1980.0,-22.89972,-66.19972
70,AR0096,3.402,0.0,0,30,1.0,0.0,1980.0,-28.21972,-67.44972
71,AR0099,5.934,0.0,0,30,1.0,0.0,1980.0,-39.54972,-62.68
72,AR0100,2.7119999999999997,0.0,0,30,1.0,0.0,1980.0,-24.2,-64.8
73,AR0102,6.479999999999999,0.0,0,30,1.0,0.0,1980.0,-24.5,-65.08972
74,AR0103,4.18,0.0,0,30,1.0,0.0,1980.0,-38.27972,-64.12
75,AR0104,2.64,0.0,0,30,1.0,0.0,1980.0,-28.03,-64.26972
76,AR0105,4.4399999999999995,0.0,0,30,1.0,0.0,1980.0,-25.15972,-65.4
77,AR0108,4.07,0.0,0,30,1.0,0.0,1980.0,-38.04972,-63.52
78,AR0109,1.5336,0.0,0,30,1.0,0.0,1980.0,-37.02972,-64.48
79,AR0110,0.336,0.0,0,30,1.0,0.0,1980.0,-27.89972,-66.26972
80,AR0111,1.21,0.0,0,30,1.0,0.0,1980.0,-38.7,-64.27972
81,AR0112,0.4860000000000001,0.0,0,30,1.0,0.0,1980.0,-37.54972,-68.22
82,AR0113,1.2189999999999999,0.0,0,30,1.0,0.0,1980.0,-39.63,-62.47
83,AR0115,1.241,0.0,0,30,1.0,0.0,1981.0,-24.65972,-65.5
84,AR0118,5.508,0.0,0,30,1.0,0.0,1981.0,-26.39972,-66.45972
85,AR0126,3.36,0.0,0,30,1.0,0.0,1981.0,-32.97972,-61.18972
86,AR0128,1.608,0.0,0,30,1.0,0.0,1981.0,-32.45972,-61.22
87,AR0129,4.68,0.0,0,30,1.0,0.0,1981.0,-26.2,-64.16972
88,AR0135,0.88,0.0,0,30,1.0,0.0,1982.0,-40.16972,-64.8
89,AR0136,1.7699999999999998,0.0,0,30,1.0,0.0,1982.0,-40.36,-64.62
90,AR0137,0.8789999999999999,0.0,0,30,1.0,0.0,1982.0,-37.93,-67.44
91,AR0138,7.666,0.0,0,30,1.0,0.0,1982.0,-40.75972,-65.01
92,AR0140,1.2375,0.0,0,30,1.0,0.0,1982.0,-39.36,-68.15
93,AR0141,3.2399999999999993,0.0,0,30,1.0,0.0,1982.0,-24.5,-65.08972
94,AR0142,1.908,0.0,0,30,1.0,0.0,1982.0,-41.40972,-65.98
95,AR0143,1.9605000000000001,0.0,0,30,1.0,0.0,1982.0,-40.40972,-65.22
96,AR0144,2.7300000000000004,0.0,0,30,1.0,0.0,1982.0,-41.41972,-65.41972
97,AR0146,1.428,0.0,0,30,1.0,0.0,1982.0,-40.63,-65.37972
98,AR0147,1.2000000000000002,0.0,0,30,1.0,0.0,1983.0,-22.71972,-66.52972
